Sl. No,Country,Number of Incidents
1,Australia,35
2,Bangladesh,4
3,Belgium,1
4,Bulgaria,1
5,Canada,91
6,China,9
7,Cyprus,14
8,Czech Republic,3
9,Egypt,3
10,Finland,4
11,France,4
12,Germany,20
13,Guyana,1
14,Italy,10
15,Kazakhstan,5
16,Kenya,1
17,Korea (ROK),3
18,Kyrgyzstan,9
19,Malta,1
20,Norway,1
21,Pakistan,1
22,Philippines,10
23,Qatar,9
24,Romania,2
25,Russia,40
26,South Africa,1
27,Spain,3
28,Suriname,3
29,Sweden and Latvia,2
30,Switzerland,1
31,Taiwan,6
32,Ukraine,21
33,U.K.,48
34,USA,36
Total,Total,403
