Sl. No.,Country,2018,2019,2020,2021,2022
1,Afghanistan,35,39,10,10,27
2,Aland Islands,2,0,0,2,3
3,Albania,7,7,2,335,57
4,Algeria,1,2,0,2,2
5,American Samoa,NA,2,1,0,1
6,Andorra,16,19,8,12,119
7,Angola,1,6,1,1,9
8,Anguilla,1,1,1,2,1
9,Antartica,0,0,1,1,NA
10,Antigua and Barbados,25,46,28,8,75
11,Argentina,16,24,7,28,39
12,Armenia,1297,1810,534,2796,1952
13,Aruba,12,14,7,7,9
14,Australia,63670,73808,33629,8950,59044
15,Austria,456,457,192,353,466
16,Azerbaijan,100,112,37,35,265
17,Bahamas,64,54,8,19,119
18,Bahrain,327,234,46,38,112
19,Bangladesh,10167,13412,5479,10493,17006
20,Barbados,164,100,40,24,64
21,Belarus,576,730,524,641,695
22,Belgium,503,648,355,605,514
23,Belize,227,142,19,19,29
24,Benin,2,4,0,7,1
25,Bermuda,61,10,0,2,2
26,Bhutan,43,52,6,0,9
27,Bolivia,1,6,0,0,NA
28,Bosnia,15,7,6,7,145
29,Botswana,21,8,6,2,7
30,Bouvet Island,0,0,0,0,NA
31,Brazil,95,85,24,24,83
32,British Indian Ocean Territory,NA,8,2,1,NA
33,Brunei,28,20,8,1,26
34,Bulgaria,234,224,53,133,139
35,Burkina Faso,1,2,0,0,4
36,Burundi,NA,1,0,0,NA
37,Cambodia,228,133,54,42,116
38,Cameroon,28,35,8,28,144
39,Canada,102720,132620,43624,102688,185955
40,Cape Verde Islands,6,14,4,10,18
41,Cayman Islands,2,2,0,3,3
42,Central African Republic,0,0,0,0,NA
43,Chad,50,27,0,1,6
44,Chile,77,61,6,10,52
45,China,20619,19170,398,3,1967
46,Christmas Islands,2,2,0,0,3
47,Cocos (Keeling) Islands,1,0,0,0,1
48,Cog (Congo),4,6,2,2,5
49,Colombia,16,19,0,4,20
50,Comoros,0,2,0,0,NA
51,Congo (Democratic Republic of),1,0,0,0,2
52,Costa Rica,9,7,3,14,9
53,Cuba,2,2,1,0,NA
54,Cyprus,2324,3528,1511,162,726
55,Czech,518,651,314,512,673
56,Denmark,521,520,253,341,488
57,Djibouti,2,1,4,0,1
58,Dominica,7,4,0,0,1
59,Dominican Republic,8,1,2,0,1
60,East Timor (Democratic Republic of),8,7,4,2,17
61,Ecuador,11,5,2,0,7
62,Egypt,413,440,188,519,424
63,El Salvador,1,5,0,0,2
64,Eritrea,1,3,0,5,4
65,Estonia,106,129,50,94,54
66,Ethiopia,12,11,4,38,14
67,Falkland Islands (Malvines),15,3,0,3,11
68,Faroe Islands,NA,1,1,0,NA
69,Fiji,9,18,6,3,2
70,Finland,182,243,80,133,234
71,France,7023,8495,4333,5293,6406
72,France Metropolitan,3,1,1,2,2
73,French Guiana,0,1,0,0,1
74,French Polynesia,0,0,0,0,2
75,Gabon,35,28,6,3,16
76,Gambia,3,0,0,2,4
77,Georgia,4804,4148,1724,2599,5269
78,Germany,14299,18034,9865,16259,20684
79,Ghana,19,18,4,14,18
80,Gibraltar,8,5,4,4,7
81,Greece,168,203,87,62,207
82,Greenland,1,1,0,1,NA
83,Grenada,15,27,7,16,17
84,Guadeloupe,0,1,2,0,1
