Sl. No.,State (as Per the Place (RPO) of Issuance of Passport),201 6,2017,2018,2019,2020,2021 (Till 28.02.2021)
1,Andhra Pradesh,46818,56093,62771,69465,35614,11790
2,Arunachal Pradesh,11,45,65,94,30,8
3,Assam,2469,3056,3948,4291,1378,519
4,Bihar,2352,3345,4399,4888,1384,478
5,Chandigarh,18916,23257,26211,32528,13988,2638
6,Chhattisgarh,1676,2134,2565,2681,801,265
7,Delhi,27016,32051,35844,40934,18482,4963
8,Goa,979,1138,1244,1247,501,121
9,Gujarat,24775,33751,41413,48051,23156,6383
10,Haryana,5284,7374,9802,12709,6944,1022
11,Himachal Pradesh,1832,2114,2297,2247,779,194
12,Jammu & Kashmir,3203,6067,8036,9150,4275,1275
13,Jharkhand,1677,2147,2333,2519,884,277
14,Karnataka,17719,24030,26918,29314,13699,4176
15,Kerala,18428,22093,26456,30948,15277,5040
16,Madhya Pradesh,5190,6479,7583,8285,3284,1160
17,Maharashtra,45560,56640,58850,64653,29079,10166
18,Manipur,245,576,1199,1475,343,213
19,Meghalaya,67,151,242,308,96,42
20,Mizoram,20,93,78,96,28,6
21,Nagaland,42,109,195,347,124,42
22,Odisha,1932,2462,2757,2982,1140,309
23,Puducheery,0,48,189,376,202,73
24,Punjab,36743,52160,60331,73574,33412,5791
25,Rajasthan,10698,14431,16897,17287,5557,1310
26,Sikkim,36,81,169,211,87,14
27,Tamil Nadu,27518,36261,38983,41488,15564,4355
28,Telangana,0,0,2,433,674,311
29,Tripura,13,47,110,180,75,31
30,Uttar Pradesh,13776,16949,20246,21941,8618,2429
31,Uttarakhand,2611,3149,3719,3982,1789,395
32,West Bengal,8495,12593,14759,15966,6335,1722
33,Passport Issued from Indian Mission Abroad,45405,37899,39731,44281,17807,4251
Total,Total,371506,456823,520342,588931,261406,71769
